Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Manual jr - Reportes y documentación,IDBi,https://pe.linkedin.com/company/idbi-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,,,,https://pe.linkedin.com/jobs/view/qa-manual-jr-reportes-y-documentaci%C3%B3n-at-idbi-4188454645?position=1&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=XPX0wTXrBFWPKXlsJjXz2Q%3D%3D
QA Automation,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",19 hours ago,Carlos Felix,https://pe.linkedin.com/in/pscarlosfelix,"Who we areThe most exciting technologies. The most interesting problems of our times.We’re equipped to create change for them on a global scale – leveraging local talent, Infosys brings together the best of consulting, technology, processes, execution and most importantly, talent. The world over, we touch billions of lives with the work we do for our clients.Position: QA AutomationPrimary skills: Functional Testing, Automation Testing with Selenium (Java), SQL, Good English communication skill.Functions:Create Test CasesPerform functional testingCreate and Maintain Automation test cases.Provide comprenshensive Test Status Report for Go-No-Go decision.Participate in Daily Meeting, Grooming calls, Release Planning, Iteration Planning.Support the Release Sanity Testing.Advanced English written and oral (mandatory).If you are interested please share us your resume/CV in EnglishInfosys seeks to promote an environment that values diversity. Our vacancies are for everyone, regardless of race, color, gender, age, nationality, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability, etc.",https://pe.linkedin.com/jobs/view/qa-automation-at-infosys-4189731380?position=2&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=6EiEomPqnudN7OY2pPgijw%3D%3D
Analista qa,Altimea,https://pe.linkedin.com/company/altimea?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",22 hours ago,,,"Altimea, consultora de tecnología e innovación digital, se encuentra en la búsqueda de un QA.RequisitosExperiencia mínima de 3 años como Analista QA.Experiencia y conocimiento en herramientas de automatización de pruebas: Selenium, Playwright, Postman, Datox, Appium.Deseable: ISTQB Certified Tester – Foundation Level.Funciones:Definir y ejecutar planes de pruebas, asegurar la calidad del software a través de pruebas manuales y automatizadas.Diseñar y ejecutar casos de prueba automatizados y manuales.Validar la calidad del software antes de su implementación en producción.Reportar y hacer seguimiento de defectos en herramientas de gestión de calidad.Colaborar con el equipo de desarrollo para mejorar la calidad de los productos.Condiciones:Modalidad: part time Híbrida (2 días a la semana).Tiempo de contrato: 3 meses.Ubicación: Frente al Pentagonito.",https://pe.linkedin.com/jobs/view/analista-qa-at-altimea-4193508275?position=3&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=WfT3JruIsHzbHJr54UVpSg%3D%3D
QA Automation,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",5 days ago,Mirza Gabriela Benites Bastante,https://pe.linkedin.com/in/mirza-gabriela-benites-bastante-548461170,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el Grupo tiene cerca de 27.000 colaboradores y apunta a continuar creciendo.¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito!Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de IT y de negocios: ¡Postula ahora!Actualmente nos encontramos en búsqueda de (02) QA Automation para que se integre a nuestro equipo asignado a uno de nuestros principales clientes:¿Cuál es el perfil ideal que estamos buscando?Egresado de las carreras universitarias de Ingeniería de Sistemas, Ingeniería Informática o Ingeniería de Software y/o afines.Experiencia mínima de 3 años a más dentro del rol.Experiencia en herramientas de Casos de Pruebas: TestRail, Testlink, ZaphirExperiencia en pruebas de serviciosExperiencia en pruebas funcionalesConocimiento de AZURE - IntermedioExperiencia bajo Marco de trabajo Agile (Scrum/Kanban).Conocimiento del proceso de Software Test Lyfe Cycle (STLC)Conocimiento del proceso de Softwate Development Lyfe Cycle (SDLC)Conocimiento de BDD relacionales (SQL) + BDD No Relacionales (MongoDB)Conocimiento de API Testing (Postman/SoapUI)Conocimiento de RestAssure+Java para backendConocimiento de Selenium+Java para frontEndConocimiento deseable en JMeterConocimiento deseable en GitHub¿Qué vamos a ofrecerte como parte del equipo?Remuneración en planilla con todas las condiciones de ley.Tarjeta de AlimentosBeneficios corporativos a través de nuestra plataforma de descuentos.Capacitaciones constantes acorde a tu línea de carrera y otras de interés general (plataformas de e-learning).La oportunidad de participar en retos altamente innovadores.Línea de carrera.Conoce más de nosotros en www.inetum.com/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidades de desarrollo profesional.",https://pe.linkedin.com/jobs/view/qa-automation-at-inetum-4190443564?position=4&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=hSfpHC0UCcx71uY%2FWvcCvw%3D%3D
Analista de Pruebas QA (Especialista en Banca y Automatización),SOAINT,https://es.linkedin.com/company/soaint?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",20 hours ago,,,"¿Te apasiona el desarrollo tecnológico? 🌍💙En SOAINT tenemos más de 15 años dedicados a transformar el mundo a través de la tecnología con soluciones de Analytics, Desarrollo, Automatización y más, y contamos con presencia en España y LATAM. Actualmente buscamos al perfil de Analista de Pruebas QA (Especialista en Banca y Automatización) Semi Senior para sumarse a nuestro equipo. Si eres una persona analítica, con facilidad para la resolución de problemas y trabajo en equipo, ¡esta es tu oportunidad! 👀🚀¿Qué harás en este rol?Realizar el control de calidad del sistema y asegurar el cumplimiento de los procesos de desarrollo de software.Formular y proponer mejoras en procesos, estándares y controles aplicables en el área de pruebas de los sistemas de información.Elaborar planes de prueba, definiendo estrategias y alcances.Analizar y diseñar casos de prueba para validar la funcionalidad y rendimiento del software.Redactar escenarios de prueba en Gherkin, asegurando claridad y precisión en la automatización de pruebas.Registrar y gestionar evidencias en herramientas especializadas para el seguimiento de pruebas.Ejecutar casos de prueba, tanto manuales como automatizados, para evaluar el desempeño del sistema.Analizar los resultados de las pruebas, identificando desviaciones y oportunidades de mejora.Registrar y dar seguimiento a defectos, garantizando su resolución en coordinación con el equipo de desarrollo.Coordinar con el equipo de desarrollo para optimizar la detección y corrección de errores.Evaluar el impacto de los defectos en los casos de prueba, ajustando estrategias cuando sea necesario.¿Qué buscamos en ti?Profesional en Ingeniería de Sistemas, Ingeniería Informática, Ingeniería de Computación o carreras afines.Experiencia mínima de 4 años en pruebas funcionales de sistemas, de regresión y de aceptación del usuario.Experiencia en proceso de automatización de casos de prueba. (Indispensable)Experiencia mínima de 2 años en pruebas de sistemas orientados a Banca o en empresas proveedoras con proyectos bancarios.Experiencia en función de la demanda requerida y en los productos de los negocios: Créditos Individual/Grupal, Ahorros y/u Operaciones en core bancario Bantotal. (Indispensable)Experiencia mínima de 2 años en pruebas móviles (Android e iOS). (Indispensable)Conocimiento en: Appium, Selenium, Cucumber, etc.Certificación ISTQB Foundation Level. (Indispensable)Experiencia en pruebas de rendimiento. (Indispensable)Experiencia en API Testing: SOAPUI, Postman.Experiencia en herramientas de pruebas: Jira, Xray.Experiencia en seguimiento de errores, métricas e indicadores de calidad.Manejo intermedio de base de datos: DB2/SQL Server.Experiencia en herramientas de control de versiones: GIT.Conocimiento en herramientas de integración continua: Azure DevOps/Jenkins.Conocimiento en herramientas de análisis de código y seguridad como SonarQube y Fortify.Conocimientos en GCP (Google Cloud Platform).¿Qué te ofrecemos?💼 Contrato indeterminado.📝 Planilla completa (Vacaciones, CTS, Gratificación, Seguro de Vida, etc.).🏢 Trabajo híbrido (3 días remoto y 2 días presenciales).🚑 Cobertura EPS al 100%.📜 Certificaciones oficiales cubiertas por la empresa.📈 Oportunidades de crecimiento y desarrollo profesional.💻 Plataforma de capacitación online gratuita.📚 Plan de formación E-Learning.👩‍🏫 Clases de inglés con profesores particulares.🎉 Mediodía libre por cumpleaños.🚲 Actividades y eventos de Integración.💳 Descuentos y convenios en educación, gimnasio y mucho más.💆‍♂ Kit ergonómico para laborar desde casa.🌍 Ser parte de una empresa internacional en el sector de consultoría y servicios TI.🚀 Oportunidad de apoyar en proyectos internacionales.🏆 Programa de reconocimiento SOAINT Prestige.💸 Bono de 300 USD por referido contratado que cumpla 3 meses en la empresa.💰 Bono por trabajo de días remotoTu próxima aventura profesional te aguarda. ¡Postúlate ahora y sé parte de nuestra historia de éxito! 🚀En SOAINT no distinguimos por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Creemos en la igualdad de oportunidades en todos nuestros procesos y buscamos promover la inclusión e inserción laboral.Conoce más de cómo se #ViveSOAINT en este link: https://www.linkedin.com/company/soaint/life/vivesoaint/",https://pe.linkedin.com/jobs/view/analista-de-pruebas-qa-especialista-en-banca-y-automatizaci%C3%B3n-at-soaint-4188338755?position=5&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=tHJMPS%2BxwZyMBzVu1yf9Cw%3D%3D
QA Automation Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",5 days ago,,,"Ubicación: PerúModalidad de trabajo: HíbridoResumen del puestoComo QA Automation Senior (13719), serás responsable de diseñar, desarrollar y ejecutar pruebas automatizadas para garantizar la calidad de las aplicaciones. Implementarás estrategias de pruebas de rendimiento, seguridad y funcionalidad, trabajando en estrecha colaboración con los equipos de desarrollo para la detección y resolución de bugs. También liderarás equipos de QA, asegurando la correcta ejecución de pruebas, documentación y optimización de procesos de control de calidad.Responsabilidades y FuncionesDiseñar, desarrollar y ejecutar pruebas automatizadas en múltiples herramientas.Crear y gestionar estrategias de pruebas, asegurando la cobertura de pruebas funcionales, de rendimiento y seguridad.Automatizar pruebas utilizando Selenium (Java, C#) y Cypress (JavaScript).Implementar y ejecutar pruebas en bases de datos relacionales y no relacionales.Realizar pruebas manuales en escenarios críticos cuando sea necesario.Documentar y realizar seguimiento de bugs, colaborando con los desarrolladores en su resolución.Gestionar y mentorear equipos de QA, garantizando buenas prácticas en pruebas.Requisitos y Habilidades  Experiencia+4 años desarrollando y ejecutando pruebas automatizadas en distintas herramientas.Experiencia con Selenium (Java, C#) y Cypress (JavaScript).Experiencia en bases de datos relacionales y no relacionales.Sólida experiencia en pruebas manuales y automatizadas.Gestión y liderazgo de equipos de QA.Habilidades TécnicasDiseño e implementación de estrategias de pruebas automatizadas.Conocimiento en pruebas de rendimiento, seguridad y funcionalidad.Uso de herramientas de gestión de pruebas y tracking de bugs.Manejo de frameworks de automatización y scripting.Inglés A1.Requerimientos Adicionales  TecnologíasAutomatización de pruebas: Selenium (Java, C#), Cypress (JavaScript).Bases de datos: Relacionales y no relacionales.Gestión de pruebas y tracking de bugs: Jira, TestRail u otras herramientas similares.Pruebas de rendimiento y seguridad: JMeter, OWASP ZAP u otras herramientas especializadas.CompetenciasLiderazgo y mentoría en equipos de QA.Capacidad de análisis y resolución de problemas.Buena comunicación y trabajo en equipo.Documentación clara y estructurada de pruebas y bugs.Acerca de EncoraEncora es el socio preferido de ingeniería digital y modernización de algunas de las principales empresas del mundo y empresas nativas digitales. Con más de 9,000 expertos en 47+ oficinas y laboratorios de innovación en todo el mundo, las prácticas tecnológicas de Encora incluyen Ingeniería y Desarrollo de Productos, Servicios en la Nube, Ingeniería de Calidad, DevSecOps, Datos y Análisis, Experiencia Digital, Ciberseguridad e Ingeniería de IA y LLM.En Encora, contratamos profesionales únicamente en función de sus habilidades y calificaciones, y no discriminamos en función de la edad, discapacidad, religión, género, orientación sexual, estado socioeconómico o nacionalidad.",https://pe.linkedin.com/jobs/view/qa-automation-senior-at-encora-inc-4187579014?position=6&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=a5GMsbXapKkkRzNszHXYWQ%3D%3D
QA Automatizador JR.,IDM Technology,https://pe.linkedin.com/company/idmtechperu?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",1 hour ago,,,,https://pe.linkedin.com/jobs/view/qa-automatizador-jr-at-idm-technology-4191478526?position=7&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=umgnZ%2B%2FPu%2BQEcfcrwSMmhg%3D%3D
QA Automation Tester,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",6 days ago,HÃ©ctor Roque,https://pe.linkedin.com/in/hroquericalde,"About Us: Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation.With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also, empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem. QA Automation Tester: Skills:*Good hands-on C#, Selenium experience*Proficient understanding ADO*Experience in Agile methodology and working ADO knowledge is a must*Brainstorm, concept, and collaborate with architects, front-end, and product team to come up with practical application solutions.*7 years of experience plus*Excellent verbal and written English communication skills and able to interact professionally with a diverse group of people*Immediate AvailabilityEOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National OriginTo learn more about Infosys and see our ideas in action please visit us at www.Infosys.comIn the same way, at Infosys, we recognize that everyone has individual requirements. If you are a person with disability, illness or injury and require adjustments to the recruitment and selection process, please contact our Recruitment team for adjustment or include your preferred method of communication in email and someone will be in touch.",https://pe.linkedin.com/jobs/view/qa-automation-tester-at-infosys-4187109866?position=8&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=YP1ewx1xqVX0Co4dCqAc8w%3D%3D
Analista de Aseguramiento de la Calidad / Medio Mundo,Redondos,https://pe.linkedin.com/company/redondos-s-a?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 days ago,,,"En Redondos, nos encontramos en búsqueda de (02) Analistas de Aseguramiento de la Calidad para nuestra Planta de Alimentos, con disponibilidad para trabajar en Medio Mundo - HuachoFunciones Muestreo de todo tipo de insumos mayores y menores que recepcione almacén.Evaluar los alimentos que envía producción para saber si está inocue el alimento terminado o hay algún punto para corregir.Evaluar las premezclas según prioridad.Monitorear las temperaturas de los silos.Realizar el análisis de aceite.Evaluar el agua del caldero PH cloro y sólidos totales.Colocar los insumos en el sistema Mtech, fechas de producción.Otras funciones asignadas por el jefe inmediato.RequisitosBachiller en Ingeniería Química, Biología, Industrias Alimentarias o afines.Contar con mínimo 01 año de experiencia laboral en puestos similares.Conocimientos en Excel y SAP (deseable).Disponibilidad para viajar.BeneficiosConvenios educativos con institutos y universidades.Plantilla con todos los beneficios de ley.Descuentos corporativos.EPS facultativo.Movilidad.Alimentación.¡Postula y obtén la posibilidad de contribuir con la nutrición y bienestar de las familias peruanas!“Esta convocatoria se encuentra en concordancia con las políticas organizacionales de REDONDOS donde se respeta la diversidad y no hace ningún tipo de discriminación de conformidad con la Ley N° 28983, también promueve la inclusión de la persona con discapacidad de conformidad con la Ley N° 29973 y no solicita ningún tipo de pago o abono para participar en procesos de reclutamiento y selección de acuerdo a nuestra Política Antisoborno”Somos una empresa con 50 años en el mercado nacional, líderes en la producción y comercialización de proteína animal, cuyo propósito de negocio es el bienestar y la nutrición de las familias peruanas. Contamos con un amplio portafolio de productos alimenticios de origen cárnico como pollo, pavo, cerdo y productos procesados. Además, con plantas industriales e instalaciones de crianza con tecnología de primer nivel.",https://pe.linkedin.com/jobs/view/analista-de-aseguramiento-de-la-calidad-medio-mundo-at-redondos-4188545124?position=9&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=MMdxmJ6JIcXu8zZcFFfPvQ%3D%3D
Analista de certificación QA,Valtx Perú,https://pe.linkedin.com/company/valtx-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Borja, Peru",4 days ago,,,"En Valtx, empresa con 23 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un ANALISTA DE CERTIFICACION - QA.¿Qué requisitos necesito? 4 años de experiencia en pruebas funcionales de sistema, de regresión y de aceptación del usuario. Experiencia en proceso de automatización de casos de prueba (Indispensable) 2 años experiencia en pruebas de sistemas orientados a Banca o Empresa de Proveedoras con proyectos orientados a banca: Productos Créditos Individual/Grupal, Ahorros y/u Operaciones en core bancario Bantotal (Indispensable) 2 años de experiencia en pruebas móviles (Android e iOS). Certificación ISTQB Foundation (Indispensable) Experiencia en Pruebas de Performance (Indispensable) Experiencia en API Testing. Conocimientos en Jira, Xray. Experiencia en seguimiento de errores, métricas e indicadores de calidad. Experiencia a nivel intermedio de base de datos: DB2/SQL Server. Experiencia en herramientas de control de versiones: GIT Conocimiento en herramientas de integración continua: Azure DevOps/Jenkins Conocimiento en herramientas de análisis de código y seguridad como SonarQube; Fortify. Conocimientos de GCP (Google Cloud Platform) Conocimientos de ESB, Motor de Reglas (Deseable).Principales Funciones Del PuestoElaboración de plan de pruebas.Definición de casos de pruebas sistema funcional.Gestión de ambiente de pruebas. Generación de data de prueba y ejecución de casos de prueba. Gestión de defectos. Generación de informe de resultados. Ejecución de pruebas de carga y rendimiento. Automatización de casos de prueba para pruebas de regresión. Manejo de bases de datos: construcción de querys de mediana/gran complejidad.",https://pe.linkedin.com/jobs/view/analista-de-certificaci%C3%B3n-qa-at-valtx-per%C3%BA-4190612795?position=10&pageNum=0&refId=J3NRDsRhjD5LBazZ4CFYnw%3D%3D&trackingId=L7agMa2GKwDbItbynt36HQ%3D%3D
